,,Priority,Category,Name,Link,Price,,Notes
,17,1,Makeup,ColourPop YOU'RE GOLDEN Eyeshadow Palette ,https://www.amazon.com/ColourPop-Eyeshadow-Semi-Sparkle-Cruelty-Free-Super-Pigmented/dp/B09V4MRMZK/ref=sr_1_7?crid=1L4BCM8AOTUTQ&keywords=colourpop&qid=1696648226&sprefix=colourpop%2Caps%2C133&sr=8-7,$39.00,,
,18,1,Plushies,Hello kitty easter plushj,https://www.fivebelow.com/products/easter-hello-kitty-plush-toy,$5.00,,
,19,1,Technology,Anker power bank,https://www.amazon.com/Anker-PowerCore-Portable-Charger-Compatible/dp/B09VPHVT2Z/ref=sr_1_1?crid=7B6LX9PWST87&dib=eyJ2IjoiMSJ9.CFgBTuA9X4_Xp4vzqo-fS3POIOIcPgqnhImClyOkSq3zYwGR37NmG9h00lTcPds3Oll7gECTxaPoJsaK8VeUr2kkuQBA0CaIItnJluKjMQYiPPFb0KoHgBwSJdR6jFU0DitLih_mEFFIGUmP4EC7gsD0ofytzVsehI-pC-7xSRrObe9r68sUfl9c-kmB9HIIpdHyP6Z7qPP4b_EYVqDh-IM_ifoOkQDft6_4pY_ZcAQ.CyExheN4x59PCs4H4NGmEnqINdGepxnhjQ5f7l6Bjjw&dib_tag=se&keywords=anker+737&qid=1724040043&sprefix=anker+737%2Caps%2C120&sr=8-1,$99.99,,
,19,1,Technology,"Corsair iCUE Lighting Node PRO RGB Lighting Controller, Multicolored",https://www.amazon.com/Corsair-iCUE-Lighting-Controller-Multicolored/dp/B01MYDTC2C/ref=sr_1_5?keywords=rgb+corsair&qid=1637291528&qsid=131-4195542-0910046&s=electronics&sr=1-5&sres=B07D1XCKWW%2CB08QSNNV5H%2CB01MYDTC2C%2CB075VGN4M1%2CB07Z9SW756%2CB07TB3R9JB%2CB07L2QSY96%2CB08FVJ7MGK%2CB08C788312%2CB07TB4J2DD%2CB08HR74WV4%2CB07VGJMQLB%2CB08SPYCCF1%2CB0829RTMKY%2CB08XJZ82Y8%2CB07RCY2GTB%2CB08W2J9JZ9%2CB07VTGSC3B%2CB08J6FC3F3%2CB082LRMY53,$64.99,,
,19,1,Technology,Light bar,https://www.amazon.com/dp/B07GXB3S7Z/ref=cm_sw_r_as_gl_api_gl_i_Y4A5W7F8NDGH4P6YZ51P?linkCode=ml1&tag=alexislovitz-20,$159.00,,
,19,1,Technology,Moca Network adapter,"https://www.amazon.com/Actiontec-MoCA-Network-Adapter-Ethernet/dp/B088KV2YYL?crid=2YKT0PCKD516N&keywords=MOCA&qid=1687739548&sprefix=mo,aps,191&sr=8-2-spons&ufe=app_do:amzn1.fos.f5122f16-c3e8-4386-bf32-63e904010ad0&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1&linkCode=sl1&tag=brettturner-20&linkId=6cbebb4eeeb209ee42030d79b02dd3ab&language=en_US&ref_=as_li_ss_tl",$159.00,,
,19,1,Technology,Pusheen Café Series Silicone Protective Cover,https://www.amazon.com/iFace-Silicone-Protective-Character-Carabiner/dp/B09W9JWTBG?th=1,$54.99,,
,20,1,Vinyls,"A Charlie Brown Christmas (Target Exclusive, Vinyl)",https://www.target.com/p/vince-guaraldi-trio-a-charlie-brown-christmas-target-exclusive-vinyl/-/A-87001302#lnk=sametab,$24.99,,
,20,1,Vinyls,Christmas Charlie Brown vinyl,https://www.amazon.com/Charlie-Brown-Christmas-Green-Vinyl/dp/B002Y1OAJU/ref=sr_1_4?keywords=christmas+vinyl+records&qid=1699072189&sr=8-4,$21.99,,
,20,1,Vinyls,Conan gray vinyl ,https://www.target.com/p/conan-gray-kid-krow-red-target-exclusive-vinyl/-/A-84049703#lnk=sametab,$22.49,,
,20,1,Vinyls,Hbo soundtrack vinyl,https://mondoshop.com/products/the-last-of-us-season-1-soundtrack-from-the-hbo-original-series-2xlp-mondo-exclusive,$42.00,,
,20,1,Vinyls,Ok Ocherstra vinyl,https://www.amazon.com/OK-ORCHESTRA-AJR/dp/B0BPYYG2WJ/ref=sr_1_2?qid=1699496604&refinements=p_32%3AAJR&s=music&sr=1-2,$24.98,,
,20,1,Vinyls,troye sivan vinyl,https://www.amazon.com/Something-Give-Each-Other-LP/dp/B0C9V7X9NR/ref=sr_1_1?keywords=troye+sivan+vinyl&qid=1699757311&sr=8-1,$29.00,,
,20,1,Vinyls,Trans-Siberian Orchestra - Christmas Eve and Other Stories,https://www.amazon.com/Trans-Siberian-Orchestra-Christmas-Other-Stories/dp/B09LTCVXJK,$25.00,,
,20,1,Vinyls,Stardew Vinyl,https://www.fangamer.com/products/stardew-valley-complete-ost-vinyl-box-set,$79.00,,
Home,22,2,Clothes,Sanrio Pompompurin Bee Costume Portrait Sweater - BoxLunch Exclusive,https://www.boxlunch.com/product/sanrio-pompompurin-bee-costume-portrait-sweater---boxlunch-exclusive/20540286.html,$64.90,only if it goes on sale ,
,22,2,Clothes,hooded robe hello kitty,https://www.forever21.com/us/2001248827.html?dwvar_2001248827_color=01,$34.99,,
,22,2,Clothes,shiba joggers,https://vapor95.com/products/shiba-quest-joggers,$54.95,,
,22,2,Clothes,shiba hoodie,https://vapor95.com/collections/nemupan/products/shiba-quest-hoodie,$59.95,,
,22,2,Clothes,Sanrio My Melody Strawberry Patterned Cardigan - BoxLunch Exclusive,https://www.boxlunch.com/product/sanrio-my-melody-strawberry-patterned-cardigan---boxlunch-exclusive/20540067.html,$64.90,,
,22,2,Clothes,Sanrio Cinnamoroll Balloons Crewneck - BoxLunch Exclusive,https://www.boxlunch.com/product/sanrio-cinnamoroll-balloons-crewneck---boxlunch-exclusive/20897314.html,$54.90,,
,22,2,Clothes,Sanrio Gudetama Color Block Wave Crewneck - BoxLunch Exclusive,https://www.boxlunch.com/product/sanrio-gudetama-color-block-wave-crewneck---boxlunch-exclusive/20872878.html,$54.90,,
,22,2,Clothes,Cinnamoroll Strawberry Ruffle Dress,https://www.hottopic.com/product/cinnamoroll-strawberry-ruffle-dress/20546040.html,$32.94,,
,22,2,Clothes,converse,https://www.amazon.com/Converse-M9697-Low-TOP-Black/dp/B07KLTC8RF/ref=sr_1_2?crid=V3DQZT2ZDI8G&keywords=converse&qid=1695522588&sprefix=converse%2Caps%2C237&sr=8-2,$54.99,,
,22,2,Clothes,My Melody & Kuromi Sweetheart Long-Sleeve Dress,https://www.hottopic.com/product/my-melody-kuromi-sweetheart-long-sleeve-dress/19508170.html,$29.49,,
,22,2,Clothes,Pink Vans,https://www.amazon.com/dp/B0949LJG92?ref_=cm_sw_r_apin_dp_3QT203XN0RG4MAKA3SH4&th=1&psc=1,$89.62,,
,22,2,Clothes,Sanrio My Melody Embroidered Panel Crewneck - BoxLunch Exclusive,https://www.boxlunch.com/product/sanrio-my-melody-embroidered-panel-crewneck---boxlunch-exclusive/17608341.html,$54.90,,
,22,2,Clothes,Women Strawberry Sequin Dress V-Neck Embroidered,https://www.walmart.com/ip/Women-Strawberry-Sequin-Dress-V-Neck-Embroidered-Mesh-Lace-Up-Pleated-Dress-NEW/530471065,$24.98,outdated,
,22,2,Clothes,Ellie Fall Hoodie,https://www.insertcoinclothing.com/hoodies/ellie-fall-hoodie.html?store=the-last-of-us,$65.49,,
